cid,rut
1,44715611-3
2,91995839-1
3,82645956-5
4,14200344-9
5,74415365-4
6,41091494-8
7,73324033-4
8,67629255-1
9,38631846-8
10,33572631-6
11,32359787-1
12,94362008-3
13,86043030-4
14,79459402-3
15,70388205-6
16,34776869-3
17,95514882-7
18,79758989-6
19,82376572-k
20,63968995-6
21,84911278-3
22,96735305-1
23,14046488-0
24,78734770-3
25,49326776-0
26,52968708-7
27,80698616-k
28,83386046-1
29,86555166-5
30,69402733-4
31,72800848-2
32,68377701-3
33,61995722-9
34,54121962-5
35,27952560-4
36,20180335-7
37,75129314-3
38,11091024-k
39,71134226-5
40,89146700-1
41,11554909-k
42,31113786-7
43,11118739-8
44,83118985-1
45,90471139-k
46,89671041-9
47,42226798-0
48,34643031-1
49,27183294-k
50,35340502-0
51,79758989-6
52,86683089-4
53,35662780-6
54,70624789-0
55,34996262-4
56,73842540-5
57,67753422-2
58,16792411-5
59,69698793-9
60,35155157-7
61,56725663-4
62,46012714-9
63,22234852-8
64,35288330-1
65,92244003-4
66,88538509-5
67,51194123-7
68,83905334-7
69,27626683-7
70,80282829-2
71,48979148-k
72,41091494-8
73,16836029-0
74,42723522-k
75,70019535-k
76,75295314-7
77,87649058-7
78,28792266-3
79,69186141-4
80,86447590-6
81,49718772-9
82,92270331-0
83,92394961-5
84,81234956-2
85,87282538-k
86,92253121-8
87,38470405-0
88,18969557-8
89,40503382-8
90,10544563-6
91,31113786-7
92,75766984-6
93,87442136-7
94,44100123-1
95,62887150-7
96,14761964-2
97,49718772-9
98,81602032-8
99,42678415-7
100,87649058-7
101,47121914-2
102,53329659-9
103,49641463-2
104,20694588-5
105,49326776-0
106,53325503-5
107,12842111-4
108,10959343-5
109,94688326-3
110,96964691-9
111,78156640-3
112,92244003-4
113,61514910-1
114,49891081-5
115,75910499-4
116,30001031-8
117,83905334-7
118,95623149-3
119,22060310-5
120,51616764-5
121,70876733-6
122,19209075-k
123,16636734-4
124,49036882-5
125,70638696-3
126,28630079-0
127,53721649-2
128,82376572-k
129,23000993-7
130,74415365-4
131,37925650-3
132,60158787-4
133,79861684-6
134,98642893-3
135,93176945-6
136,42723522-k
137,26196183-0
138,37742604-5
139,29637564-0
140,31113786-7
141,67710168-7
142,80640357-1
143,23298314-0
144,23494123-2
145,91957885-8
146,64269343-3
147,95226644-6
148,22997103-4
149,61993529-2
150,55422937-9
151,89751595-4
152,50109588-5
153,26257768-6
154,55326528-2
155,63795324-9
156,86683089-4
157,35480818-8
158,29637564-0
159,54593722-0
160,27161682-1
161,78897889-8
162,44290962-8
163,37142311-7
164,59129614-0
165,59105378-7
166,30928102-0
167,58191750-3
168,59444986-k
169,15460166-k
170,19942007-0
171,21759577-0
172,87634133-6
173,79861684-6
174,55106753-k
175,68505645-3
176,89793517-1
177,34846808-1
178,81698647-8
179,10927357-0
180,87861767-3
181,20694588-5
182,69020528-9
183,35785969-7
184,89512502-4
185,58303600-8
186,63421928-5
187,84729190-7
188,75397524-1
189,29950437-9
190,34823992-9
191,77366538-9
192,38204359-6
193,59537115-5
194,89793517-1
195,59150917-9
196,56425505-k
197,40644356-6
198,81401624-2
199,40978316-3
200,30991735-9
201,79348268-k
202,68225683-4
203,51317447-0
204,31359212-k
205,29637564-0
206,80885102-4
207,38717290-4
208,80698616-k
209,56474633-9
210,74415365-4
211,14343597-0
212,86083776-5
213,55326528-2
214,88107942-9
215,14761964-2
216,65809271-5
217,33890329-4
218,84921010-6
219,47329036-7
220,29622397-2
221,25368817-3
222,47326835-3
223,33016426-3
224,42300579-3
225,46531952-6
226,37126798-0
227,59137080-4
228,85297873-2
229,52778909-5
230,14761964-2
231,30680313-1
232,44281327-2
233,56499633-5
234,11439340-1
235,83469143-4
236,91935122-5
237,83399209-0
238,54122700-8
239,49798131-k
240,63532763-4
241,28231652-8
242,83290634-4
243,33006349-1
244,54982068-9
245,68377701-3
246,79850677-3
247,19706256-8
248,63688364-6
249,41361801-0
250,97996738-1
251,61863167-2
252,56535213-k
253,66844166-1
254,99837067-1
255,21924647-1
256,73543707-0
257,77020926-9
258,61514910-1
259,82833215-5
260,42162871-8
261,66970190-k
262,29415476-0
263,67629255-1
264,73557956-8
265,17195049-k
266,85301240-8
267,42354523-2
268,75295314-7
269,15451762-6
270,88413708-k
271,69020528-9
272,45453849-8
273,41581842-4
274,59105378-7
275,27143992-k
276,98849412-7
277,70106627-8
278,60926655-4
279,24878659-0
280,38317707-3
281,57689116-4
282,83029887-8
283,45347413-5
284,48246125-5
285,44060880-9
286,22637365-9
287,57792927-0
288,12412672-k
289,93900888-8
290,78918085-7
291,18665525-7
292,80291272-2
293,58038177-4
294,69777560-9
295,28370900-0
296,92244003-4
297,99075946-4
298,73222374-6
299,48553208-0
300,92253121-8
301,12815044-7
302,79348268-k
303,32644502-9
304,50319391-4
305,44770429-3
306,82719046-2
307,14343597-0
308,53783913-9
309,48425773-6
310,69265725-k
311,55326528-2
312,12842111-4
313,70388205-6
314,82319208-8
315,41694611-6
316,87544765-3
317,47121914-2
318,48998776-7
319,64268937-1
320,21219682-7
321,34761062-3
322,12842111-4
323,19027799-2
324,62820832-8
325,61993529-2
326,53747213-8
327,97996738-1
328,42113348-4
329,97404549-4
330,81207716-3
331,12920124-k
332,73418283-4
333,44372095-2
334,83584289-4
335,24129722-5
336,87442136-7
337,90471139-k
338,31679088-7
339,75397524-1
340,28231652-8
341,38235761-2
342,93840785-1
343,43922451-7
344,95932617-7
345,13690129-k
346,99294258-4
347,91059844-9
348,48161908-4
349,93550420-1
350,44604413-3
351,35785969-7
352,66183219-3
353,40978316-3
354,26123513-7
355,14811794-2
356,49995619-3
357,26240285-1
358,78463527-9
359,52176953-k
360,53234460-3
361,22274441-5
362,35340502-0
363,48925896-k
364,12033288-0
365,91888493-9
366,59959821-9
367,62550748-0
368,30224213-5
369,92244003-4
370,95667888-9
371,87631642-0
372,95741388-9
373,48433213-4
374,77941465-5
375,53234460-3
376,13592940-9
377,52158784-9
378,25002692-7
379,35785969-7
380,33078552-7
381,52576933-k
382,23686910-5
383,38405094-8
384,65346159-3
385,66844166-1
386,79344858-9
387,91085975-7
388,42538060-5
389,24115633-8
390,48007583-8
391,77210598-3
392,23625905-6
393,34643031-1
394,15955355-8
395,44290962-8
396,88094734-6
397,17286061-3
398,88034198-7
399,25327705-k
400,22479749-4
401,25806104-7
402,42354523-2
403,97996738-1
404,73026642-1
405,11636170-1
406,64370666-0
407,22150901-3
408,60916764-5
409,35685353-9
410,49166815-6
411,43161018-3
412,56914123-0
413,97996738-1
414,58945079-5
415,54122700-8
416,96900689-8
417,38072383-2
418,73540572-1
419,14114400-6
420,28273728-0
421,16670974-1
422,66714421-3
423,76081261-7
424,58557550-k
425,47067447-4
426,45467235-6
427,75397524-1
428,51844875-7
429,84593882-2
430,60370162-3
431,79308193-6
432,34349789-k
433,40644356-6
434,36615636-4
435,96562711-1
436,38563658-k
437,66295586-8
438,74361473-9
439,39899583-k
440,89118524-3
441,89671041-9
442,45717384-9
443,42678415-7
444,16008678-5
445,84593882-2
446,64221026-2
447,94888169-1
448,83538271-0
449,43922451-7
450,56292778-6
451,58765828-3
452,74759859-2
453,99466469-7
454,91935122-5
455,37376941-k
456,55012555-2
457,59105378-7
458,23407008-8
459,22150901-3
460,10619372-k
461,65538426-k
462,31706054-8
463,93892863-0
464,84569598-9
465,76396643-7
466,12187269-2
467,99347364-2
468,50109588-5
469,79348268-k
470,99837067-1
471,77489819-0
472,70388205-6
473,86367440-9
474,82993651-8
475,75328775-2
476,21201270-k
477,95367461-0
478,11554909-k
479,33016426-3
480,70582800-8
481,32628385-1
482,14292252-5
483,48292072-1
484,54746197-5
485,43953571-7
486,75910499-4
487,10254486-2
488,75397524-1
489,12348490-8
490,80092681-5
491,53329659-9
492,28630079-0
493,83386046-1
494,14377401-5
495,73543707-0
496,53329659-9
497,95656123-k
498,92554015-3
499,96900689-8
500,81600879-4
501,59495529-3
502,40644356-6
503,49326776-0
504,77484278-0
505,82993651-8
506,55106753-k
507,90471139-k
508,25450277-4
509,50453382-4
510,97675067-5
511,78166652-1
512,27712443-2
513,58000701-5
514,12460058-8
515,89336201-0
516,51853396-7
517,75269880-5
518,33874298-3
519,35785969-7
520,69141385-3
521,15333675-k
522,85301240-8
523,85682952-9
524,95185947-8
