rut,iid
73026642-1,103
69822376-6,173
12920124-k,18
14200344-9,34
13863556-2,91
11904025-6,174
54480341-7,88
77191435-7,46
23047484-2,153
50728559-7,192
32359787-1,191
94362008-3,28
98357275-8,82
10339840-1,13
52189199-8,144
26849996-2,183
67753422-2,105
34039148-9,207
35340502-0,21
63968995-6,56
87371798-k,125
96735305-1,160
52158784-9,184
79974368-k,77
11118739-8,10
95199785-4,116
49628420-8,134
22249624-1,210
79725852-0,185
84327091-3,27
13370165-6,213
88732812-9,140
75397524-1,164
54121962-5,60
89477804-0,115
40161573-3,129
75129314-3,203
94559048-3,171
14585428-8,65
35414863-3,101
37285914-8,48
48996426-0,133
90471139-k,31
97163657-2,148
50814284-6,25
88107942-9,102
90730270-9,47
52258791-5,201
78413522-5,200
48269008-4,135
34996262-4,100
92060023-9,1
75910499-4,59
75020925-4,146
35155157-7,84
45026733-3,78
72018152-5,72
93591226-1,193
92244003-4,79
40597717-6,139
27626683-7,3
47121914-2,74
58963604-k,36
37376941-k,147
70366259-5,11
56405384-8,212
35115737-2,0
23686910-5,41
37780063-k,137
71316667-7,198
25919808-9,108
80558312-6,209
58812264-6,182
59749734-2,7
12205074-2,109
45624249-9,14
67902197-4,165
59129614-0,24
37630974-6,143
77484278-0,176
49641463-2,154
56744324-8,89
91346186-k,202
58648727-2,141
81203114-7,96
68147125-1,208
80640357-1,87
92946711-6,180
54546935-9,118
93176945-6,196
54593722-0,194
64501886-9,155
26135720-8,130
33461512-k,95
38578737-5,23
58038177-4,67
87624695-3,16
78301240-5,157
20789297-1,4
58378678-3,170
29637564-0,110
31359212-k,15
23494123-2,40
31194216-6,55
15795964-6,179
25450277-4,32
61993529-2,52
89751595-4,117
52792841-9,211
95423202-6,86
38629675-8,8
25696685-9,37
60727093-7,94
57181678-4,168
59105378-7,119
10927357-0,204
91957637-5,136
50942616-3,19
69767927-8,81
52698782-9,45
82533150-6,114
23711490-6,71
44973013-5,177
21016824-9,42
44604413-3,138
43329730-k,39
67314332-6,58
34823992-9,75
81881771-1,167
40644356-6,145
46805723-9,113
30991735-9,131
79348268-k,54
97632307-6,123
15955355-8,127
26249833-6,63
24927693-6,175
45856781-6,30
46531952-6,50
42494071-2,156
38100857-6,112
54122700-8,29
17341224-k,159
66714421-3,214
60747994-1,188
99837067-1,98
70433997-6,187
60926655-4,97
44372095-2,93
71389826-0,163
44626695-0,51
92390198-1,99
50319391-4,80
65485230-8,85
53281073-6,6
83029887-8,161
13947632-8,197
64367868-3,9
32153494-5,90
12957899-8,107
32086803-3,189
76762441-7,57
18984900-1,44
42714709-6,61
96828461-4,20
73454838-3,17
60456055-1,215
37797879-k,38
82254885-7,12
70551235-3,162
45273848-1,206
11123767-0,181
41325900-2,111
91258242-6,53
10537138-1,76
35806868-5,186
89265324-0,2
15333675-k,26
34975310-3,66
29004298-4,149
48592540-6,68
80228379-2,124
41966463-4,83
84593882-2,166
49552236-9,92
28673876-1,172
12177977-3,142
48007583-8,64
19410523-1,5
22150901-3,104
95711978-6,190
66976509-6,120
88408240-4,33
12969098-4,70
53383454-k,128
14495790-3,169
16943787-4,69
42868972-0,205
76362168-5,151
36600416-5,62
99302343-4,43
83330704-5,22
54363208-2,132
41775238-2,35
53087333-1,150
88667817-7,73
41659296-9,126
17611254-9,195
98661210-6,106
24655915-5,178
69691126-6,152
90494178-6,199
96213582-k,158
14408869-7,49
70368495-5,121
18902520-3,122
