rut,nombre,edad,sexo
46251263-5,Catalina Luna,90,mujer
92310665-0,Sergio Galaz,47,hombre
77837095-6,Catalina Patiño,55,mujer
66922079-0,Nicolas Henriquez,70,mujer
79464991-k,Magdalena Santibañez,74,hombre
22997103-4,Lisandro Pinto,42,mujer
61890115-7,Leonardo Bucarei,42,hombre
45347413-5,Sofia Peña,29,hombre
54864080-6,Valentina Gutierrez,75,hombre
86447590-6,Simoney Mora,26,hombre
45355149-0,Martin Bustos,54,hombre
19942007-0,Diego Caniullan,89,hombre
79263691-8,Yanara Carrasco,39,mujer
32165632-3,Karla Castillo,38,mujer
66760004-9,Yaimara Cisternas,83,hombre
49326776-0,Pamela Figueroa,91,mujer
97804380-1,Aritza Flores,67,mujer
83399209-0,Giordano Flores,20,hombre
86260284-6,Danae Gamboa,95,mujer
19209075-k,Diego Guajardo,74,mujer
31653150-4,Bayron Guzman,84,mujer
64100872-9,Gabriela Jimenez,26,hombre
72629258-2,Orlando Moraga,56,hombre
17263415-k,Matias Moreno,13,mujer
18208603-7,Matias Painequeo,85,mujer
90414316-2,Sayenn Pavez,26,mujer
16045471-7,Gonzalo Pino,88,mujer
28792266-3,Benjamin Quilacon,37,hombre
68353685-7,Millaray Ramos,56,hombre
99428020-1,Aaron Roa,83,mujer
24840265-2,Martin Rojas,66,hombre
79850677-3,Yael Salcedo,81,hombre
95741388-9,Caceres San,57,mujer
77210598-3,Lucas Santibañez,63,hombre
96187015-1,Luis Torres,57,mujer
68120110-6,Zithlali Ulloa,28,hombre
56619171-7,Javiera Vasquez,66,hombre
51616764-5,Jorge Zumelzu,15,mujer
60916764-5,Alan Aceiton,97,hombre
81252987-0,Paz Aguayo,41,mujer
59192155-k,Flores Al,67,hombre
41391265-2,Lucas Araya,81,hombre
76041278-3,Daniela Arriagada,75,mujer
78158392-8,Benjamin Barria,43,mujer
49995619-3,Franco Benavides,97,mujer
37156185-4,Genesis Cardenas,59,mujer
85410626-0,Sergio Cardenas,24,hombre
10116173-0,Antonio Carrasco,72,hombre
88757035-3,Ian Carrera,30,mujer
68583239-9,Barbara Carvajal,42,hombre
35492826-4,Ignacio Castillo,59,hombre
86683089-4,Alondra Chamorro,91,mujer
28320055-8,Francisca Colima,67,hombre
86043030-4,Constanza Conejeros,87,mujer
27604578-4,Ivanna Contreras,44,mujer
35412165-4,Martin Flores,78,mujer
80869010-1,Constanza Gomez,40,hombre
86555166-5,Franco Gomez,34,mujer
61036645-7,Javiera Grandon,10,hombre
40373818-2,Javier Hurtado,84,mujer
24149278-8,Lucas Jara,84,mujer
43161018-3,Benjamin Jeria,95,mujer
67938721-9,Felipe Jilberto,16,hombre
18768050-6,Constanza Jorquera,32,hombre
49881324-0,Javiera Lizama,54,hombre
36578275-k,Catalina Lopez,28,mujer
92505908-0,Isidora Loyola,83,hombre
16483997-4,Bruno Mardones,36,hombre
91957885-8,Antonella Molina,53,mujer
85930746-9,Escarlet Morales,31,hombre
43630977-5,Javier Moya,30,mujer
70876733-6,Xavier Oyarzun,62,hombre
36731956-9,Silvio Peralta,81,mujer
42127645-5,Yohao Portales,70,hombre
38158176-4,Cesia Ramos,85,mujer
48292072-1,Francisca Reyes,33,mujer
86434438-0,Benjamin Rodriguez,30,mujer
62974576-9,Juan Sanchez,86,mujer
71881591-6,Constanza Sepulveda,53,hombre
16670974-1,Lucas Vasquez,74,hombre
19027799-2,Matias Vega,52,hombre
36669949-k,Isidora Villarroel,98,mujer
58179139-9,Victoria Adasme,75,hombre
80146994-9,Alonso Agurto,41,mujer
34902561-2,Carlos Antifil,99,hombre
27811535-6,Maria Aranda,34,mujer
37653211-9,Ignacio Arias,17,hombre
78734770-3,Rocio Bernales,95,hombre
82260254-1,Amaro Bravo,70,mujer
92253121-8,Sebastian Bustos,34,hombre
53325503-5,Jacob Cartes,98,hombre
27423756-2,Martin Celis,84,hombre
56840142-5,Noelia Cid,21,hombre
99233768-0,Hugo Cordova,37,hombre
95541819-0,Rocio Cuello,30,hombre
61773216-5,Monserrat Echeverria,28,hombre
13635178-8,Fernando Escobar,14,hombre
93310611-k,Emily Farias,40,hombre
85073231-0,Isidora Fernandez,89,hombre
41601315-2,Antonella Garrido,49,mujer
98121429-3,Conzuelo Gonzales,82,hombre
80511365-0,Josefa Huaiquil,53,mujer
62815723-5,Millaray Jimenez,88,hombre
33734821-1,Alondra Llanquiman,30,hombre
25806104-7,Fernando Lopez,76,hombre
23514054-3,Valeria Martinez,74,mujer
72309503-4,Alexia Matus,18,mujer
48908396-5,Martin Neculman,51,mujer
71198104-7,Isidora Orellana,90,hombre
76534733-5,Luis Pacheco,37,hombre
73222374-6,Carlos Pinto,31,mujer
28597225-6,Diego Plaza,25,mujer
32700742-4,Francisca Roblero,97,mujer
28118803-8,Padme Rodriguez,47,hombre
34572846-5,Benjamin Saavedra,34,mujer
42723522-k,Millaray Salazar,65,mujer
