rut,iid
46251263-5,14
92310665-0,29
77837095-6,130
66922079-0,63
79464991-k,194
22997103-4,32
61890115-7,127
45347413-5,189
54864080-6,189
86447590-6,198
45355149-0,196
19942007-0,192
79263691-8,52
32165632-3,170
66760004-9,73
49326776-0,10
97804380-1,171
83399209-0,143
86260284-6,169
19209075-k,155
31653150-4,27
64100872-9,55
72629258-2,57
17263415-k,95
18208603-7,191
90414316-2,146
16045471-7,12
28792266-3,137
68353685-7,212
99428020-1,187
24840265-2,180
79850677-3,75
95741388-9,26
77210598-3,40
96187015-1,155
68120110-6,5
56619171-7,129
51616764-5,194
60916764-5,102
81252987-0,76
59192155-k,125
41391265-2,57
76041278-3,182
78158392-8,49
49995619-3,83
37156185-4,205
85410626-0,53
10116173-0,123
88757035-3,182
68583239-9,137
35492826-4,126
86683089-4,201
28320055-8,128
86043030-4,82
27604578-4,121
35412165-4,97
80869010-1,94
86555166-5,185
61036645-7,147
40373818-2,37
24149278-8,178
43161018-3,155
67938721-9,118
18768050-6,6
49881324-0,149
36578275-k,59
92505908-0,186
16483997-4,178
91957885-8,55
85930746-9,126
43630977-5,88
70876733-6,36
36731956-9,82
42127645-5,63
38158176-4,125
48292072-1,67
86434438-0,208
62974576-9,208
71881591-6,52
16670974-1,98
19027799-2,143
36669949-k,189
58179139-9,70
80146994-9,182
34902561-2,195
27811535-6,106
37653211-9,74
78734770-3,77
82260254-1,38
92253121-8,191
53325503-5,202
27423756-2,120
56840142-5,121
99233768-0,32
95541819-0,6
61773216-5,151
13635178-8,75
93310611-k,195
85073231-0,194
41601315-2,123
98121429-3,142
80511365-0,165
62815723-5,212
33734821-1,192
25806104-7,213
23514054-3,115
72309503-4,74
48908396-5,157
71198104-7,129
76534733-5,158
73222374-6,38
28597225-6,161
32700742-4,76
28118803-8,131
34572846-5,12
42723522-k,11
15591154-9,142
16636734-4,130
63795324-9,86
65538426-k,198
62942419-9,151
33236616-5,182
31679088-7,186
82581279-2,99
35069575-3,211
99927220-7,63
70106627-8,9
43953571-7,66
51194123-7,139
75490842-4,55
64336012-8,209
54023774-3,101
45008209-0,180
40538537-6,11
12187269-2,145
27952560-4,115
55823148-3,35
67978268-1,136
99070181-4,190
50042631-4,112
99466469-7,82
36664523-3,99
44812887-3,126
34643031-1,102
21759577-0,19
32992512-9,24
85553386-3,85
45510769-5,14
45740927-3,99
98849412-7,197
42300579-3,74
84921010-6,86
51248373-9,149
38628283-8,202
78662700-1,86
80703512-6,178
37142311-7,168
97036167-7,1
53967694-6,130
23407008-8,1
76494450-k,127
56229978-5,123
40269415-7,118
80592689-9,36
52576933-k,109
71612139-9,150
23632306-4,42
16413527-6,58
77489819-0,212
85301240-8,80
53721649-2,67
12655924-0,205
79154026-7,90
24115633-8,153
34917249-6,156
85034590-2,126
19680912-0,151
40455577-4,102
81401624-2,113
40978316-3,203
77189827-0,146
13093741-1,14
26123513-7,124
12874915-2,215
15623590-3,84
45981588-0,18
82003178-4,51
29415476-0,191
38631846-8,153
61242043-2,76
28954972-2,129
88094734-6,5
69163174-5,59
53042462-6,25
81330568-2,125
86679007-8,115
83896534-2,77
91210142-8,128
72570829-7,193
58044372-9,49
40640800-0,27
73324033-4,88
80549244-9,175
40070443-0,120
68377701-3,140
20228556-2,168
16264932-9,3
80580088-7,125
84167281-k,206
93044599-1,93
47922722-5,83
41183684-3,144
94947578-6,115
33890329-4,175
91085975-7,192
96562711-1,120
52392092-8,189
91938760-2,182
98518861-0,4
72275204-k,187
70388205-6,144
80924311-7,135
73031326-8,63
66970190-k,51
81641085-1,129
17371278-2,82
72447098-k,206
59161375-8,51
14106853-9,73
94506083-2,195
24878659-0,90
23937155-8,122
79407634-0,123
27083103-6,142
77757931-2,202
21290952-1,35
79695896-0,149
89512502-4,138
31256887-k,210
46067685-1,115
58143457-k,168
69719019-8,174
81207716-3,155
92394961-5,100
99149710-2,123
92851961-9,195
22637365-9,72
41694611-6,37
28231652-8,29
97321798-4,26
35773530-0,131
73745994-2,55
32644502-9,183
62220169-0,39
69020528-9,42
62887150-7,101
16687104-2,115
51630030-2,48
47249752-9,88
55868629-4,130
75766984-6,109
32817993-8,15
83538271-0,7
80628376-2,126
44422964-0,20
31691559-0,65
31457093-6,62
61863167-2,143
91051274-9,5
81019249-6,171
75106425-k,56
52581344-4,24
13700503-4,86
45677093-2,172
18912034-6,3
22876040-4,176
29742884-5,36
13295853-k,58
22252251-k,64
53642790-2,121
83481742-k,175
84095044-1,197
98544321-1,12
96404014-1,147
37731534-0,117
55676647-9,0
48766480-4,114
15119459-1,71
76849115-1,62
15765031-9,183
32726853-8,163
59260036-6,11
19130484-5,43
57325256-k,134
80356838-3,27
10119008-0,69
57437538-k,103
80092681-5,117
40503382-8,109
14292252-5,174
24215497-5,39
60987705-7,170
59959821-9,172
97418193-2,166
88034198-7,162
56725663-4,78
54157127-2,152
48979148-k,36
30492842-5,213
84671162-7,184
57342278-3,110
73540572-1,100
48762156-0,193
58509457-9,17
58188294-7,99
25844754-9,122
29903675-8,73
66844166-1,188
32273643-6,154
80353279-6,162
29622397-2,133
78897889-8,37
58846331-1,117
71652443-4,195
90243628-6,108
84081575-7,159
14114400-6,28
83905334-7,34
89146700-1,101
29622980-6,165
20168747-0,146
38725184-7,121
28450511-5,180
81018273-3,163
10742402-4,32
85384785-2,155
30001031-8,118
48246125-5,81
48986292-1,85
93892863-0,128
52179815-7,195
19706256-8,214
26196183-0,203
11271286-0,130
48998776-7,162
95521769-1,6
55972471-8,195
95487734-5,168
63814706-8,67
43597800-2,96
95403427-5,114
56914123-0,25
95623149-3,96
37126798-0,194
92270331-0,209
46288331-5,17
90505307-8,148
95810168-6,122
94006732-4,78
61336127-8,41
32142510-0,20
21188032-5,2
64660903-8,200
17677635-8,77
21332506-k,159
36615636-4,101
30741496-1,14
18970874-2,85
33491402-k,82
47342099-6,27
73815426-6,214
19528671-k,174
51844875-7,165
17327495-5,178
82719046-2,135
79873843-7,159
66227912-9,184
44715611-3,103
71134226-5,65
89260929-2,49
72620651-1,14
33908685-0,69
94221380-8,82
15823641-9,186
39790970-0,213
14736236-6,42
17195049-k,99
67710168-7,15
21201270-k,138
16833235-1,17
32273167-1,86
90922919-7,50
60028335-9,165
52968708-7,116
57689116-4,23
10094201-1,117
85779616-0,36
15683276-6,92
14825989-5,83
65207641-6,210
34761062-3,181
93600353-2,178
61627352-3,167
33917878-k,29
81311438-0,126
16506263-9,77
48849361-2,60
23684561-3,150
12842111-4,0
46524982-k,169
54556015-1,129
22240154-2,141
72478850-5,91
25107105-5,115
69768825-0,199
42644643-k,98
54004386-8,132
55514185-8,30
34762796-8,182
55422937-9,84
11636170-1,67
45453849-8,6
84539370-2,101
96900689-8,55
44281327-2,27
74580276-1,5
78160098-9,108
65346159-3,116
72800848-2,213
79757833-9,169
79459402-3,13
80921370-6,142
90172937-9,148
47942200-1,169
42538060-5,129
70582800-8,131
14982281-k,93
90155266-5,166
96951878-3,25
72159761-k,27
72430402-8,90
66045545-0,53
91231636-k,57
86516801-2,98
64750606-2,3
90966759-3,139
31111145-0,35
16792411-5,59
58765828-3,70
42216276-3,38
91844038-0,4
43926456-k,56
13965853-1,92
14343597-0,127
41966463-4,83
21219682-7,206
95541523-k,178
68208732-3,208
43831962-k,115
22234852-8,173
39089742-1,158
92696219-1,2
69568679-k,38
91935122-5,192
68133700-8,90
42938886-4,124
11439340-1,144
39899583-k,110
39949282-3,134
53644614-1,188
19552470-k,113
18167947-6,141
72810804-5,176
44253237-0,184
45026478-4,52
75576764-6,43
64879120-8,115
69373271-9,9
10517073-4,140
98708700-5,56
58945079-5,165
75270010-9,215
98683815-5,1
72939187-5,19
20297901-7,14
77209293-8,203
18665525-7,15
50062649-6,97
85973291-7,151
51153844-0,129
54076655-k,102
94821886-0,33
36552322-3,186
32366948-1,176
77477421-1,79
13572944-2,120
79725605-6,162
66183219-3,204
40675138-4,146
23000993-7,173
88198898-4,147
66199185-2,108
16008678-5,89
36625090-5,27
87813399-4,142
93900888-8,61
30862862-0,69
43922451-7,26
95520055-1,34
75016224-k,100
76591179-6,206
87081187-k,162
36081017-8,157
80291272-2,17
37200573-4,84
56535213-k,208
77796005-9,186
40350724-5,148
56499633-5,211
23526948-1,178
86664654-6,177
52916249-9,70
62785039-5,155
22145359-k,151
63951440-4,109
97004364-0,199
47666047-5,92
88730119-0,5
53211068-8,106
14046488-0,184
31706054-8,101
23298212-8,193
57836259-2,84
97657967-4,163
59814228-9,133
89336201-0,109
94432090-3,170
92170041-5,80
64272663-3,121
91790173-2,178
45467235-6,209
99075946-4,215
96392316-3,17
73342699-3,123
47865441-3,119
88772168-8,38
87861767-3,177
41361801-0,94
31092780-5,84
11750224-4,146
72070561-3,197
51693674-6,155
92365268-k,166
55776079-2,67
83296811-0,99
23713134-7,76
70624789-0,135
79425659-4,146
66258468-1,35
35662780-6,200
40403791-9,4
79480331-5,81
86646016-7,205
21666289-k,123
52703981-9,2
83603309-4,30
47326835-3,153
49337371-4,158
87442136-7,165
48679409-7,41
36259502-9,214
29646441-4,171
33402225-0,121
95855049-9,178
51755919-9,163
49993665-6,29
69141385-3,24
33481996-5,46
68505645-3,45
47067447-4,120
58557550-k,11
27650119-4,56
18812547-6,183
66625711-1,166
52189199-8,144
28012525-3,176
48795285-0,44
89321752-5,112
35066595-1,157
42621036-3,69
66954467-7,94
18446690-2,145
65227086-7,38
35661237-k,98
67913619-4,162
83290634-4,82
62014673-0,61
92311983-3,107
59517619-0,176
42655208-6,180
65573855-k,197
62420431-k,14
56064569-4,163
94422835-7,127
35668656-k,118
95437335-5,40
63532763-4,159
46680387-1,42
85297873-2,14
88132030-4,103
39473167-6,107
58154631-9,47
38830395-6,200
36030482-5,157
95667888-9,103
97996738-1,11
96007294-4,84
52176953-k,13
59332921-6,5
23298314-0,160
31113786-7,133
